EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Y_N
8375,"John Scott",33,No,"Travel Rarely",1458,"Human Resources",5,3,"Human Resources",1,3,Male,2017-11-24,83,3,3,Manager,1,Divorced,8982,23470,1,NULL,No,24,4,4,80,2,12,3,3,7,5,7,2,0
6936,"Steven Perez",40,Yes,"Travel Rarely",1060,"Research and Development",3,3,Medical,1,4,Male,2006-06-04,85,3,3,"Laboratory Technician",1,Married,6799,19167,2,NULL,No,23,3,3,80,1,18,0,4,18,1,13,9,1
5104,"Gary Thomas",35,No,"Travel Frequently",1086,"Research and Development",29,3,Medical,1,3,Male,2019-02-28,62,2,4,"Research Scientist",1,Married,10569,16240,4,NULL,No,18,3,3,80,1,16,2,3,5,0,4,5,0
8964,"Melissa Miller",51,No,"Travel Rarely",357,"Research and Development",12,4,"Life Science",1,3,Female,2018-01-09,58,4,3,"Research Director",2,Single,7347,8152,1,NULL,Yes,23,4,4,80,0,29,2,3,6,1,3,1,0
4994,"Kenneth Williams",37,No,"Travel Frequently",1292,"Research and Development",16,3,"Life Science",1,1,Male,2020-11-17,90,1,4,Manager,4,Married,16027,12358,4,NULL,Yes,15,3,2,80,0,17,3,3,4,3,0,2,0
9070,"Sharon Jones",33,No,"Travel Rarely",1347,Sales,7,4,Medical,1,3,Female,2014-01-24,74,2,5,"Sales Representative",1,Married,18360,16422,3,NULL,Yes,17,3,1,80,2,12,2,3,10,1,4,1,0
3925,"Jason Ramirez",33,No,"No Travel",905,"Research and Development",8,1,Medical,1,4,Male,2019-03-18,32,4,2,"Laboratory Technician",4,Married,5715,17981,4,NULL,No,14,3,3,80,0,11,5,3,5,5,2,0,0
400,"John Martinez",19,No,"Travel Frequently",794,"Research and Development",7,3,Marketing,1,4,Male,2024-01-25,69,3,1,"Laboratory Technician",3,Single,3196,17588,4,NULL,No,12,3,4,80,2,0,3,4,0,0,0,0,0
6864,"Sharon Williams",31,No,"Travel Rarely",757,"Research and Development",2,3,"Life Science",1,4,Female,2018-08-21,40,3,4,"Research Scientist",2,Missing,19999,13829,3,NULL,No,19,3,2,80,2,11,1,3,6,3,5,1,0
7441,"Carol Thomas",44,Yes,"Travel Rarely",1299,Sales,9,3,Medical,1,4,Female,2018-03-03,34,4,4,"Sales Representative",3,Married,13377,3536,6,NULL,No,15,3,4,80,1,24,4,3,6,0,6,5,1
9535,"Lisa Jackson",37,No,"Travel Frequently",1402,"Research and Development",6,3,Marketing,1,1,Female,2017-05-06,62,2,4,"Laboratory Technician",3,Married,14032,10737,3,NULL,Yes,22,3,4,80,0,18,5,4,7,5,6,6,0
3294,"Barbara Thomas",46,No,"Travel Frequently",1109,Sales,3,3,Marketing,1,3,Female,2019-12-05,30,2,4,"Sales Executive",2,Divorced,19644,11719,2,NULL,Yes,22,4,3,80,1,28,2,3,5,1,0,5,0
7006,"Karen Flores",31,No,"Travel Rarely",1426,"Research and Development",11,3,"Life Science",1,4,Female,2015-08-17,92,3,5,"Laboratory Technician",3,Married,17912,4706,3,NULL,No,22,4,2,80,1,12,5,3,9,2,9,7,0
