EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
8375,John Scott,33,No,Travel_Rarely,1458,Human Resources,5,3,Human Resources,1,3,Male,2017-11-24,83,3,3,Manager,1,Divorced,8982,23470,1,Y,no,24,4,4,80,2,12,3,3,7,5,7,2
6936,Steven Perez,40,Yes,Travel_Rarely,1060,Research & Development,3,3,Med,1,4,Male,06/04/2006,85,3,3,Laboratory Technician,1,Married,6799,19167,2,Y,No,23,3,3,80,1,18,0,4,18,1,13,9
5104,Gary Thomas,35,No,Travel_Frequently,1086,Research & Development,29,3,MEDICAL,1,3,Male,28/02/2019,62,2,4,Research Scientist,1,Married,"$10,569",16240,4,Y,No,18,3,3,80,1,16,2,3,5,0,4,5
8964,Melissa Miller,51,No,Travel Rarely,357,Research & Development,12,4,Life Sciences,1,3,Female,2018-01-09,58,4,3,Research Director,2,Single,"7,347",8152,1,Y,Yes,23,4,4,80,0,29,2,3,6,1,3,1
4994,Kenneth Williams,37,No,Travel_Frequently,1292,R&D,16,3,Life Sciences,1,1,Male,2020-11-17,90,1,4,Manager,4,Married,16027,12358,4,Y,1,15,3,2,80,0,17,3,3,4,3,0,2
9070,Sharon Jones,33,No,Travel_Rarely,1347,Sales,7,4,Medical,1,3,FEMALE,01/24/2014,74,2,5,Sales Representative,1,Married,"18,360",16422,3,Y,YES,17,3,1,80,2,12,2,3,10,1,4,1
3925,Jason Ramirez,33,No,Non-Travel,905,Research & Development,8,1,MEDICAL,1,4,male,18-Mar-2019,32,4,2,Laboratory Technician,4,Married,5715,17981,4,Y,No,14,3,3,80,0,11,5,3,5,5,2,0
400,John Martinez,19,No,Travel_Frequently,794,Research & Development,7,3,Marketing,1,4,Male,01/25/2024,69,3,1,Laboratory Technician,3,SINGLE,3196,17588,4,Y,No,12,3,4,80,2,0,3,4,0,0,0,0
6864,Sharon Williams,31,No,Travel_Rarely,757,Research & Development,2,3,Life Sciences,1,4,Female,21/08/2018,40,3,4,Research Scientist,2,?,19999,13829,3,Y,No,19,3,2,80,2,11,1,3,6,3,5,1
7441,Carol Thomas,44,Yes,Travel_Rarely,1299,Sales,9,3,Medical,1,4,female,2018-03-03,34,4,4,Sales Representative,3,MARRIED,13377,3536,6,Y,No,15,3,4,80,1,24,4,3,6,0,6,5
